text,ground_truth,raw_response,predicted,correct
Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,1,"{""reasoning"": ""Offers in the form of SMS are not typically part of spam"", ""verdict"": 0}",0,False
You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,1,"{""reasoning"": ""Offers with no commercial content, unsolicited contact, or spam indicators."", ""verdict"": 1}",1,True
Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528,1,"{""reasoning"": ""Contains a promotional code and an option to opt-out, which are typical spam indicators."", ""verdict"": 1}",1,True
Try to do something dear. You read something for exams,0,"{""reasoning"": ""Text message with a personal message mentioning a reading or study-related activity, which is not typically associated with spam."", ""verdict"": 0}",0,True
Lol for real. She told my dad I have cancer,0,"{""reasoning"": ""Contains adult content, warning about a serious medical condition."", ""verdict"": 1}",1,False
Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...,0,"{""reasoning"": ""Spam message with commercial content and inappropriate language."", ""verdict"": 1}",1,False
Promotion Number: 8714714 - UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 å£1.50perWKsub,1,"{""reasoning"": ""Contains a promotional offer and a direct call-to-action, which are typical spam messages."", ""verdict"": 1}",1,True
We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.,0,"{""reasoning"": ""Offer of a free broadband installation."", ""verdict"": 1}",1,False
NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;,0,"{""reasoning"": ""Contains NEFT transaction details, payment amount, and time frame."", ""verdict"": 1}",1,False
"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available",1,"{""reasoning"": ""Offers and promotions are common in the SMS, suggesting a spammer."", ""verdict"": 0}",0,False
This is the 2nd time we have tried to contact u. U have won the å£1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm,1,"{""reasoning"": ""This is an unsolicited commercial text message with a prize offer, no spam indicators."", ""verdict"": 0}",0,False
"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",0,"{""reasoning"": ""Warning message with an alert tag and a time frame."", ""verdict"": 1}",1,False
When are you guys leaving?,0,"{""reasoning"": ""Spam due to request for real-time updates and confirmation that they will not leave the premises."", ""verdict"": 0}",0,True
Get a brand new mobile phone by being an agent of The Mob! Plus loads more goodies! For more info just text MAT to 87021.,1,"{""reasoning"": ""Offers an exclusive promotion with a premium telephone number and additional rewards."", ""verdict"": 1}",1,True
"Haha, that was the first person I was gonna ask",0,"{""reasoning"": ""Spam message containing profanity and a question mark"", ""verdict"": 1}",1,False
No no. I will check all rooms befor activities,0,"{""reasoning"": ""Messages are not related to a specific event or offer."", ""verdict"": 0}",0,True
FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,1,"{""reasoning"": ""Urgency keyword, money prize, and premium phone number."", ""verdict"": 1}",1,True
Oh did you charge camera,0,"{""reasoning"": ""Spam message asking for personal information with a specific term."", ""verdict"": 0}",0,True
Valentines Day Special! Win over å£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,1,"{""reasoning"": ""Sends an email with a $1,000 prize and a coupon for a trip."", ""verdict"": 1}",1,True
"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323.",1,"{""reasoning"": ""Offers user to pay premium prices and is spam"", ""verdict"": 1}",1,True
Yes there were many sweets,0,"{""reasoning"": ""Contains a positive sentiment about sweets."", ""verdict"": 1}",1,False
"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",1,"{""reasoning"": ""Contains commercial or promotional offer with a premium phone number."", ""verdict"": 1}",1,True
here is my new address -apples&pairs&all that malarky,0,"{""reasoning"": ""Text message containing personal information"", ""verdict"": 0}",0,True
WIN URGENT! Your mobile number has been awarded with a å£2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm ,1,"{""reasoning"": ""Urgency keyword, money prize, and premium phone number."", ""verdict"": 1}",1,True
"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",1,"{""reasoning"": ""This message contains a promotional offer and a text-based request for assistance."", ""verdict"": 0}",0,False
