text,ground_truth,raw_response,predicted,correct
Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,1,"{""reasoning"":""AdvertisingAgent: Yes, the message contains promotional or advertising content."", ""verdict"": 1}, {""reasoning"":""ConversationAgent: The message does not discuss everyday situations and does not push the reader toward any urgent external action."", ""verdict"": 0}, {""reasoning"":""SpamAgent: No, the message is not from an unsolicited commercial offer or spammer."", ""verdict"": 0}",1,True
You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,1,"{""reasoning"": ""ConversationAgent: No, this message does not discuss everyday situations or push readers toward any urgent external action."", ""verdict"": 0}",0,False
Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528,1,"{""reasoning"": ""Not_CONVERSATIONAL, AdvertisingAgent"", ""verdict"": 0}",0,False
Try to do something dear. You read something for exams,0,"{""reasoning"": ""ConversationAgent: CONVERSATIONAL."", ""verdict"": 0}, {""reasoning"": ""<ConversationAgent: NOT_CONVERSATIONAL."", ""verdict"": 1}, {""reasoning"": ""AdvertisingAgent: ADVERTISING."", ""verdict"": 1}, {""reasoning"": ""SpamAgent: SPAM."", ""verdict"": 1}}",0,True
Lol for real. She told my dad I have cancer,0,"{""reasoning"": ""The message is a direct challenge or accusation, not a routine discussion about the speaker's daily life."", ""verdict"": 0}",0,True
Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...,0,"{""reasoning"": ""Not_conversational"", ""verdict"": 1}",1,False
Promotion Number: 8714714 - UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 å£1.50perWKsub,1,"{""reasoning"":""Not_CONVERSATIONAL"", ""verdict"": 0}",0,False
We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.,0,"{""reasoning"": ""The message contains promotional language and an offer to install broadband services, which aligns with the definition of a spam message."", ""verdict"": 1}",1,False
NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;,0,"{""reasoning"":""ConversationAgent: NOT_CONVERSATIONAL"",""verdict"":0}",0,True
"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available",1,"{""reasoning"": ""The message is conversational in tone and does not contain any urgent external actions or promotional content."", ""verdict"": 0}",0,False
