text,ground_truth,raw_response,predicted,correct
Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,1,"{""reasoning"": ""The message is not spam as it does not contain any commercial or promotional messages"", ""verdict"": 0}",0,False
You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,1,"{ ""reasoning"": ""The message contains a request for terms and conditions, which is not typical of an SMS spam message"", ""verdict"": 0 }",0,False
Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528,1,"{""reasoning"": ""The message does not contain any suspicious or inappropriate content"", ""verdict"": 1}",1,True
Try to do something dear. You read something for exams,0,"{""reasoning"": ""The given message is not clearly spam or ham. It could be a joke, but without more context about the sender and content, it's difficult to determine its status."", ""verdict"": 0}",0,True
Lol for real. She told my dad I have cancer,0,"{""reasoning"": ""The message contains offensive language and is inappropriate"", ""verdict"": 0}",0,True
Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...,0,"{""reasoning"":""This message is spam because the tone and content are unsolicited and repetitive, indicating that it may be automated."", ""verdict"":1}",1,False
Promotion Number: 8714714 - UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 å£1.50perWKsub,1,"{""reasoning"":""The content of the message is about a promotion and an offer, which is more likely to be spam than ham."",""verdict"":0}",0,False
We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.,0,"{""reasoning"": ""This message does not contain any spammy language or pattern."", ""verdict"": 1}",1,False
NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;,0,"{""reasoning"": ""The message contains a transaction receipt that requests payment or transfer of funds, which is inconsistent with an SMS service provided for making payments."", ""verdict"": 1}",1,False
"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available",1,"{""reasoning"": ""The given message contains a direct call to action that is not a spam message."", ""verdict"": 1}",1,True
This is the 2nd time we have tried to contact u. U have won the å£1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm,1,"{""reasoning"": ""The message contains no spammy content and is not soliciting any personal information."", ""verdict"": 1}",1,True
"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",0,"{""reasoning"":""The message is a formal request for information or confirmation and does not contain any urgent, emotive, or threatening language that would lead to spam classification."",""verdict"":0}",0,True
When are you guys leaving?,0,"{""reasoning"":""The message 'When are you guys leaving?' is not typical and appears to be made up or misspelled, which could indicate it's not spam."",""verdict"":0}",0,True
Get a brand new mobile phone by being an agent of The Mob! Plus loads more goodies! For more info just text MAT to 87021.,1,"{ ""reasoning"": ""The message is not spam as it does not contain any advertising or promotional content that could be indicative of spamming."", ""verdict"": 0 }",0,False
"Haha, that was the first person I was gonna ask",0,"{""reasoning"":""The message contains a misspelling of ""ask"". It seems like an attempt to communicate with someone named ""haha"", but it's hard to tell without more context."", ""verdict"": 0}",0,True
No no. I will check all rooms befor activities,0,"{""reasoning"":""The message discusses activities rather than checking or arranging for availability in the rooms, indicating a lack of urgency or seriousness."",""verdict"":0}",0,True
FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,1,"{""reasoning"":""This message does not contain any spam, it is a legitimate communication for purchasing Nokia products without providing personal information or making unsolicited offers."",""verdict"":0}",0,False
Oh did you charge camera,0,"{""reasoning"":""The message is a direct request for charging services, which is not typical for a messaging service or app."",""verdict"":0}",0,True
Valentines Day Special! Win over å£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,1,"{ ""verdict"": 1 }",1,True
