text,ground_truth,raw_response,predicted,correct
Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,1,"{""reasoning"": ""ADVERTISING"", ""verdict"": 1}",1,True
You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,1,"{""reasoning"": ""ConversationAgent: NOT_CONVERSATIONAL — no urgent action required."", ""verdict"": 0}, {""reasoning"": ""AdvertisingAgent: NOT_ADVERTISING — this is a promotional text message. SpamAgent: Step1: no urgency. Step2: no prize. Step3: no premium number. Step4: no offers. SPAM."", ""verdict"": 1}",0,False
Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528,1,"{""reasoning"": ""ConversationAgent: NOT_CONVERSATIONAL — no urgent action or promotional content. AdvertisingAgent: NOT_ADVERTISING — this is a customer service message, not an ad or offer. SpamAgent: Step4: unsolicited commercial offer. FinalVerdict: HAM."", ""verdict"": 0}",0,False
Try to do something dear. You read something for exams,0,"{""reasoning"": ""ConversationAgent: NOT_CONVERSATIONAL — no urgent action needed. AdvertisingAgent: ADVERTISING – reads a book for students, not an offer. SpamAgent: Step1: no specific mention of time or urgency. Step2: no prize or money offers. Step3: unsolicited message. HAM."", ""verdict"": 0}",0,True
Lol for real. She told my dad I have cancer,0,"{""reasoning"": ""ConversationAgent: NOT_CONVERSATIONAL - no urgent action needed. AdvertisingAgent: NOT_ADVERTISING - not a promotional offer or unsolicited message. SpamAgent: HAM. FinalVerdict: CONVERSATIONAL + SPAM → HAM."", ""verdict"": 0}",0,True
Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...,0,"{""reasoning"": ""The message expresses frustration and disappointment with the current situation, emphasizing the need for a new room and expressing urgency for change. The language used is clearly negative and the content seems to be a complaint about their living situation."", ""verdict"": 1}",1,False
Promotion Number: 8714714 - UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 å£1.50perWKsub,1,"{""reasoning"": ""ConversationAgent: NOT_CONVERSATIONAL — no urgent action, just a text offering. AdvertisingAgent: ADVERTISING — promotional offer in text message format, not a link or prize. SpamAgent: Step1: no special conditions implied. Step2: no prize. Step3: no link present. Step4: unsolicited offer. SPAM. FinalVerdict: ADVERTISING + SPAM → SPAM."", ""verdict"": 1}",1,True
We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.,0,"{""reasoning"": ""ConversationAgent: NOT_CONVERSATIONAL — no urgent action or promotional content present."", ""verdict"": 0}",0,True
NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;,0,"{""reasoning"": ""ConversationAgent: NOT_CONVERSATIONAL — no urgent action needed. AdvertisingAgent: NOT_ADVERTISING — no unsolicited commercial offers. SpamAgent: HAM. FinalVerdict: CONVERSATIONAL overrides → HAM."", ""verdict"": 0}",0,True
"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available",1,"{""reasoning"": ""ConversationAgent: NOT_CONVERSATIONAL — no urgent action needed."", ""verdict"": 0}, {""reasoning"": ""AdvertisingAgent: ADVERTISING — offer promotional, 'call now on', 'offer ends'. SpamAgent: HAM. FinalVerdict: ADVERTISING + SPAM → SPAM.""}",0,False
This is the 2nd time we have tried to contact u. U have won the å£1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm,1,"{""reasoning"": ""ConversationAgent: NOT_CONVERSATIONAL — no urgent action required from the user."", ""verdict"": 0}",0,False
"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",0,"{""reasoning"": ""ConversationAgent: CONVERSATIONAL — everyday situation, no urgent action. AdvertisingAgent: NOT_ADVERTISING. SpamAgent: HAM. FinalVerdict: CONVERSATIONAL overrides → HAM."", ""verdict"": 0}",0,True
When are you guys leaving?,0,"{""reasoning"": ""The question is a query for information about when someone will be leaving, which is not suitable for a response to this platform."", ""verdict"": 0}",0,True
Get a brand new mobile phone by being an agent of The Mob! Plus loads more goodies! For more info just text MAT to 87021.,1,"{""reasoning"": ""ConversationAgent: NOT_CONVERSATIONAL — pushes for information, not a promotional offer. AdvertisingAgent: ADVERTISING — mentions 'The Mob' and 'be an agent of The Mob', which are brand names and suggest the offer is about purchasing a new mobile phone from The Mob. SpamAgent: Step1: urgency ('text'), Step2: no prize or money promise, Step3: brand name pushing offer. SPAM. FinalVerdict: ADVERTISING + SPAM → SPAM."", ""verdict"": 1}",1,True
"Haha, that was the first person I was gonna ask",0,"{""reasoning"": ""ConversationAgent: NOT_CONVERSATIONAL — no urgent action required. AdvertisingAgent: NOT_ADVERTISING — this is a casual chat, not an offer for a product or service. SpamAgent: Step1: no urgency ('first'). Step2: no prize. Step3: no link present. HAM."", ""verdict"": 0}",0,True
No no. I will check all rooms befor activities,0,"{""reasoning"": ""ConversationAgent: NOT_CONVERSATIONAL — does not discuss any everyday situations. AdvertisingAgent: NOT_ADVERTISING — this is a recommendation or suggestion, not an offer. SpamAgent: Step1: no urgency implied. Step2: no prize mentioned. Step3: no advertisement or link present. Step4: unsolicited offer. HAM."", ""verdict"": 0}",0,True
FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,1,"{""reasoning"": ""ConversationAgent: FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone — pushes to visit a website with a link."", ""AdvertisingAgent: NOT_ADVERTISING - this is a promotion offering free Nokia for the first week on text, not a brand promotion or an unsolicited offer. SpamAgent: Step1: urgency ('now'). Step2: no prize. Step3: no discount. Step4: unsolicited. SPAM."", ""verdict"": 1}",1,True
Oh did you charge camera,0,"{""reasoning"": ""ConversationAgent: NOT_CONVERSATIONAL"", ""verdict"": 0}, {""reasoning"": ""AdvertisingAgent: ADVERTISING"", ""verdict"": 1}, {""reasoning"": ""FinalVerdict: ADVERTISING + SPAM"", ""verdict"": 1}",0,True
Valentines Day Special! Win over å£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,1,"{""reasoning"": ""ConversationAgent: NOT_CONVERSATIONAL — doesn't discuss everyday situations or push action. AdvertisingAgent: ADVERTISING — promotion offer in a text message format, with no urgency or prize promises. SpamAgent: Step1: no urgent language present. Step2: no prize offers. Step3: no premium phone number mentioned. Step4: no unsolicited commercial offer. SPAM."", ""verdict"": 1}",1,True
"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323.",1,"{""reasoning"": ""ConversationAgent: CONVERSATIONAL — push to text a short code"", ""verdict"": 0}, {""reasoning"": ""AdvertisingAgent: NOT_ADVERTISING - no promotional content found."", ""verdict"": 1}, {""reasoning"": ""SpamAgent: Step1: urgency ('now'). Step2: prize. Step3: link present. Step4: unsolicited. SPAM"", ""verdict"": 1}",0,False
Yes there were many sweets,0,"{""reasoning"": ""ConversationAgent: CONVERSATIONAL — everyday situation, no urgent action. AdvertisingAgent: NOT_ADVERTISING. SpamAgent: HAM. FinalVerdict: CONVERSATIONAL overrides → HAM."", ""verdict"": 0}",0,True
