text,ground_truth,raw_response,predicted,correct
Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,1,"{""reasoning"": ""Step1: Urgency language 'Call Germany for only 1 pence per minute!' is found. Step2: Fixed-line via access number 0844 861 85 85 is found. No prepayment, direct access offered via the website. Step3: Personal message to avoid unwanted contact. Email is not provided in the given text. Step4: Unsolicited commercial offer. Spam."", ""verdict"": 1}",1,True
You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,1,"{""reasoning"": ""No urgency, no prize or money promises, no suspicious links/premium phone numbers, personal message."", ""verdict"": 1}",1,True
Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528,1,"{""reasoning"": ""Step1: 'B4U' is urgent. Step2: no prize. Step3: no links. Step4: unsolicited commercial. Spam."", ""verdict"": 1}",1,True
Try to do something dear. You read something for exams,0,"{""reasoning"": ""No urgency, no prize offered, no links shared, no premium number. Only personal message, which is not spam."", ""verdict"": 0}",0,True
Lol for real. She told my dad I have cancer,0,"{""reasoning"": ""Step1: 'She' is urgent. Step2: no prize or money promises. Step3: short code 80086. Step4: personal message. Ham."", ""verdict"": 0}",0,True
Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...,0,"{""reasoning"": ""Step1: No urgency. Step2: No prize. Step3: no links. Step4: Personal message. Ham."", ""verdict"": 0}",0,True
Promotion Number: 8714714 - UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 å£1.50perWKsub,1,"{""reasoning"": ""Step1: 'UR awarded' is urgent. Step2: City Break, Summer Shopping spree mentioned. No links or premium numbers. Step3: Personal message and text was sent. Ham."", ""verdict"": 0}",0,False
We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.,0,"{""reasoning"": ""Step1: no urgency. Step2: no prize. Step3: no links. Step4: personal message. Ham."", ""verdict"": 0}",0,True
NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;,0,"{""reasoning"": ""Step1: No urgency mentioned. Step2: No prize or money promises. Step3: Link not provided, no links detected. Step4: Personal message from user. Ham."", ""verdict"": 0}",0,True
"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available",1,"{""reasoning"": ""No urgency, no prize, no links, no premium phone number, no unsolicited commercial offer, Spam."", ""verdict"": 0}",0,False
This is the 2nd time we have tried to contact u. U have won the å£1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm,1,"{""reasoning"": ""Step1: 'win' is urgent. Step2: prize £1450. Step3: short code 09053750005. Step4: unsolicited offer. Spam."", ""verdict"": 1}",1,True
"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",0,"{""reasoning"": ""Step1: no urgency. Step2: no prize. Step3: short code 80086. Step4: personal message. Ham."", ""verdict"": 0}",0,True
When are you guys leaving?,0,"{""reasoning"": ""Step2: no prize. Step3: links and premium number. No suspicious text."", ""verdict"": 0}",0,True
Get a brand new mobile phone by being an agent of The Mob! Plus loads more goodies! For more info just text MAT to 87021.,1,"{""reasoning"": ""Step1: 'text MAT' is urgent. Step2: premium number 87021. Step3: personal message or offer by The Mob. Unsolicited commercial. Spam."", ""verdict"": 1}",1,True
"Haha, that was the first person I was gonna ask",0,"{""reasoning"": ""Step1: 'first' is urgent. Step2: no prize. Step3: no links. Step4: personal message. Ham."", ""verdict"": 0}",0,True
No no. I will check all rooms befor activities,0,"{""reasoning"": ""Step1: no urgency. Step2: no prize. Step3: no links. Step4: personal message. Ham."", ""verdict"": 0}",0,True
FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,1,"{""reasoning"": ""Step2: no prize. Step3: short code 80086. No links. Slight commercial offering. Spam."", ""verdict"": 1}",1,True
Oh did you charge camera,0,"{""reasoning"": ""Step3: suspicious links or premium phone numbers. Spam."", ""verdict"": 1}",1,False
Valentines Day Special! Win over å£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,1,"{""reasoning"": ""Step1: 'Valentines Day Special' is urgent. Step2: win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. Step4: unsolicited commercial offer. Spam."", ""verdict"": 1}",1,True
"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323.",1,"{""reasoning"": ""Step1: 'lookAtMe!': urgent. Step2: video charge mentioned. Step3: no links or premium phone numbers. No suspicious links, but there are no links to pay for the service, therefore spam.""}, {""verdict"": 0}",0,False
Yes there were many sweets,0,"{""reasoning"": ""Step2: 'many' is not a prize or money promise. Step3: links not mentioned. No suspicious links or premium phone numbers. No unsolicited commercial offer. Spam."", ""verdict"": 1}",1,False
"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",1,"{""reasoning"": ""Step1: 'Congratulations' is urgent and positive. Step2: mobile, 3G videophones are listed as available for purchase. Step3: call number provided with a 9-digit number format (09061744553) that suggests an unsolicited commercial offer, but not specifically spam due to the lack of other clues like prize promises or links. Step4: personal message text 'bx420' and related info (video chat, game play, music library, rental options). Spam.', ""verdict"": 1}",1,True
here is my new address -apples&pairs&all that malarky,0,"{""reasoning"": ""Step1: no urgency. Step2: no prize. Step3: no links. Step4: unsolicited commercial offer. Ham."", ""verdict"": 0}",0,True
